v1	Id(M1)
2.000000000000000e-001	1.603263e-008
2.046585984561508e-001	1.847636e-008
2.094257096101799e-001	2.135556e-008
2.143038610475213e-001	2.475715e-008
2.192956392286370e-001	2.878697e-008
2.244036908603927e-001	3.357416e-008
2.296307242993766e-001	3.927663e-008
2.349795109879059e-001	4.608782e-008
2.404528869234826e-001	5.424518e-008
2.460537541624763e-001	6.404062e-008
2.517850823588334e-001	7.583363e-008
2.576499103386267e-001	9.006755e-008
2.636513477112814e-001	1.072898e-007
2.697925765183307e-001	1.281771e-007
2.760768529205769e-001	1.535669e-007
2.825075089245507e-001	1.844957e-007
2.890879541491854e-001	2.222480e-007
2.958216776336413e-001	2.684155e-007
3.027122496872414e-001	3.249708e-007
3.097633237824961e-001	3.943588e-007
3.169786384922225e-001	4.796094e-007
3.243620194717857e-001	5.844759e-007
3.319173814875118e-001	7.136065e-007
3.396487304923486e-001	8.727550e-007
3.475601657498748e-001	1.069040e-006
3.556558820077842e-001	1.311264e-006
3.639401717219963e-001	1.610303e-006
3.724174273325731e-001	1.979577e-006
3.810921435926490e-001	2.435626e-006
3.899689199516087e-001	2.998781e-006
3.990524629937755e-001	3.693950e-006
4.083475889339054e-001	4.551503e-006
4.178592261708075e-001	5.608228e-006
4.275924179004459e-001	6.908311e-006
4.375523247899100e-001	8.504260e-006
4.477442277136674e-001	1.045766e-005
4.581735305535540e-001	1.283962e-005
4.688457630639838e-001	1.573077e-005
4.797665838038975e-001	1.922072e-005
4.909417831370054e-001	2.340673e-005
5.023772863019154e-001	2.839182e-005
5.140791565537721e-001	3.428215e-005
5.260535983790757e-001	4.118406e-005
5.383069607853824e-001	4.920093e-005
5.508457406676326e-001	5.843020e-005
5.636765862528901e-001	6.896097e-005
5.768063006253205e-001	8.087222e-005
5.902418453332764e-001	9.423203e-005
6.039903440804024e-001	1.090975e-004
6.180590865027172e-001	1.255158e-004
6.324555320336750e-001	1.435247e-004
6.471873138592557e-001	1.631552e-004
6.622622429651813e-001	1.844325e-004
6.776883122784042e-001	2.073777e-004
6.934737009050623e-001	2.320095e-004
7.096267784671499e-001	2.583452e-004
7.261561095402017e-001	2.864015e-004
7.430704581943440e-001	3.161952e-004
7.603787926411213e-001	3.477435e-004
7.780902899885600e-001	3.810643e-004
7.962143411069933e-001	4.161760e-004
8.147605556082243e-001	4.530973e-004
8.337387669406695e-001	4.918477e-004
8.531590376031840e-001	5.324464e-004
8.730316644803305e-001	5.749128e-004
8.933671843019247e-001	6.192661e-004
9.141763792297485e-001	6.655251e-004
9.354702825743948e-001	7.137079e-004
9.572601846452751e-001	7.638323e-004
9.795576387368907e-001	8.159151e-004
1.002374467254543e+000	8.699726e-004
1.025722767982728e+000	9.260203e-004
1.049614920499544e+000	9.840728e-004
1.074063592740504e+000	1.044144e-003
1.099081747715247e+000	1.106248e-003
1.124682650380696e+000	1.170396e-003
1.150879874674312e+000	1.236601e-003
1.177687310711176e+000	1.304874e-003
1.205119172148713e+000	1.375226e-003
1.233190003722962e+000	1.447667e-003
1.261914688960384e+000	1.522205e-003
1.291308458069309e+000	1.598851e-003
1.321386896015190e+000	1.677612e-003
1.352165950783961e+000	1.758496e-003
1.383661941837871e+000	1.841508e-003
1.415891568768273e+000	1.926655e-003
1.448871920149978e+000	2.013941e-003
1.482620482601832e+000	2.103369e-003
1.500000000000000e+000	2.149448e-003
